Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon polystegum,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3W
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon scutigerum,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3X
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon wuchereri,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3Y
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis anchietae,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448H8
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis capensis,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448HB
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis galeata,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448HM
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis guentheri,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448HR
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis jugularis,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448HV
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis scalper,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|73PZP
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Monopeltis|Monopeltis sphenorhynchus,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|63CTS|448JJ
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Zygaspis|Zygaspis quadrifrons,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|8BBF|7GFTG
Biota|Animalia|Chordata|Reptilia|Squamata|Bipedidae|Bipes,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|77X|62FXV
Biota|Animalia|Chordata|Reptilia|Squamata|Bipedidae|Bipes|Bipes canaliculatus,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|77X|62FXV|LVN2
Biota|Animalia|Chordata|Reptilia|Squamata|Blanidae|Blanus,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|78J|62FS7
Biota|Animalia|Chordata|Reptilia|Squamata|Blanidae|Blanus|Blanus cinereus,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|78J|62FS7|LZZB
Biota|Animalia|Chordata|Reptilia|Squamata|Blanidae|Blanus|Blanus strauchi,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|78J|62FS7|68MDT
Biota|Animalia|Chordata|Reptilia|Squamata|Booidea|Boidae|Erycinae|Eryx,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8GK5S|79Q|87CHF|62S57
Biota|Animalia|Chordata|Reptilia|Squamata|Cadeidae|Cadea,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|622JH|62JSL
Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Dipsadinae|Synophis,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8GK5V|8G9|87CGR|7RCL
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae,unranked|kingdom|phylum|class|order|superfamily|family,5T6MX|N|CH2|RP|45C|8H6SS|622T2
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Anguis,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|W75
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Anguis|Anguis fragilis,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|W75|672H4
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Dopasia,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|47SB
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Hyalosaurus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|87GHB
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Hyalosaurus|Hyalosaurus koellikeri,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|87GHB|88D5P
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Ophisaurus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|68YP
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Anguidae|Anguinae|Ophisaurus|Ophisaurus attenuatus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|622T2|87CD6|68YP|7523Z
